timestamp,device,series,period,EMUI,Android
4/13/20,Honor 8C,HONOR series,quarterly,nan,nan
4/13/20,Honor 9X,HONOR series,quarterly,nan,nan
4/13/20,Honor 7S,HONOR series,quarterly,nan,nan
4/13/20,nova 5T,HUAWEI nova series,quarterly,nan,nan
4/13/20,nova 4,HUAWEI nova series,quarterly,nan,nan
4/13/20,nova 3,HUAWEI nova series,quarterly,nan,nan
4/13/20,nova 3e,HUAWEI nova series,quarterly,nan,nan
4/13/20,nova Lite 3,HUAWEI nova series,quarterly,nan,nan
4/13/20,nova 3i,HUAWEI nova series,quarterly,,"9.0 ""Pie"""
4/13/20,"M5 (8.4"" & 10.8"")",Tablets,quarterly,nan,nan
4/13/20,M5 Pro,Tablets,quarterly,nan,nan
4/13/20,"T5 (10.1"")",Tablets,quarterly,nan,nan
