filename,first_12_bytes,spl,identifier,firmware_name,os_version,android_version,patch_type
CPH1955EX_11_OTA_2070_all_2oxGmgINctR9.ozip,OPPOENCRYPT!,2020-06-05,178.0,,,,
CPH1955EX_11_OTA_2090_all_nexSIO0Kl1dd.ozip,OPPOENCRYPT!,2020-08-05,179.0,,,,
CPH1955EX_11_OTA_2100_all_1ovm1oBszIcC.ozip,OPPOENCRYPT!,2020-09-05,180.0,,,,
CPH1955EX_11_OTA_2110_all_yLaoX17i5JbW.ozip,OPPOENCRYPT!,2020-10-05,181.0,,,,
CPH1955EX_11_OTA_2120_all_tbrIL6jpNcz6.ozip,OPPOENCRYPT!,2020-11-05,182.0,,,,
CPH1955EX_11_OTA_2130_all_zwO7SOT7eLJp.ozip,OPPOENCRYPT!,2020-12-05,183.0,,,,
CPH1955EX_11_OTA_2140_all_Tnfy79IW1COp.ozip,OPPOENCRYPT!,2021-02-05,184.0,,,,
CPH1955EX_11_OTA_2150_all_IRWb6tr60BEo.ozip,OPPOENCRYPT!,2021-04-05,185.0,,,,
CPH1955EX_11_OTA_2160_all_mlY3tZWQ0X9C.ozip,OPPOENCRYPT!,2021-05-05,186.0,,,,
CPH1831EX_11_OTA_0160_all_AIs53gMZTfkE.ozip,OPPOENCRYPT!,,187.0,,,,
CPH1831EX_11_OTA_0170_all_Q2GOz9afhZPM.ozip,OPPOENCRYPT!,,188.0,,,,
CPH1831EX_11_OTA_0200_all_5JX06lkopHps.ozip,OPPOENCRYPT!,,189.0,,,,
CPH1831EX_11_OTA_0210_all_4wrL2yklhQyx.ozip,OPPOENCRYPT!,,190.0,,,,
CPH1831EX_11_OTA_0230_all_fqCIrAdCDCIL.ozip,OPPOENCRYPT!,,191.0,,,,
CPH1831EX_11_OTA_0240_all_RLzukzA7N0Z8.ozip,OPPOENCRYPT!,,192.0,,,,
CPH1831EX_11_OTA_1320_all_VBccG7HONJs6.ozip,OPPOENCRYPT!,2019-12-05,193.0,,,,
CPH1831EX_11_OTA_1380_all_0oaJKZbMtndi.ozip,OPPOENCRYPT!,2020-07-05,194.0,,,,
CPH1831EX_11_OTA_2430_all_80sV4wqJRMxt.ozip,OPPOENCRYPT!,2020-08-05,195.0,,,,
CPH1893EX_11_OTA_0110_all_tcektOF3kk9q.ozip,OPPOENCRYPT!,,196.0,,,,
CPH1893EX_11_OTA_0120_all_QTpwvB0uCVUA.ozip,OPPOENCRYPT!,,197.0,,,,
CPH1893EX_11_OTA_0140_all_sPAycN0OKwAN.ozip,OPPOENCRYPT!,,198.0,,,,
CPH1893EX_11_OTA_0160_all_qlpoj4MmWBCF.ozip,OPPOENCRYPT!,,199.0,,,,
CPH1613EX_11_OTA_022_all_201903070923.ozip,OPPOENCRYPT!,,200.0,,,,
CPH1819EX_11_OTA_2210_all_SpcnkD6SZqZk.ozip,OPPOENCRYPT!,2020-10-05,201.0,,,,
CPH1819EX_11_OTA_1120_all_ML7WXW7B8DgU.ozip,OPPOENCRYPT!,2020-02-05,202.0,,,,
CPH1823EX_11_OTA_2150_all_tV33STnOi4k6.ozip,OPPOENCRYPT!,2020-10-05,203.0,,,,
CPH1969EX_11_OTA_0370_all_0MM8cHDJSthP.ozip,OPPOENCRYPT!,2019-09-05,204.0,,,,
