CVE,Year,Month,Severity
CVE-2022-20081,2022,April,High
CVE-2021-25477,2022,April,High
CVE-2021-30334,2022,April,High
CVE-2021-35091,2022,April,High
CVE-2021-35095,2022,April,High
CVE-2021-35130,2022,April,High
CVE-2021-30281,2022,April,High
CVE-2021-30338,2022,April,High
CVE-2021-30340,2022,April,High
CVE-2021-30344,2022,April,High
CVE-2021-30345,2022,April,High
CVE-2021-30346,2022,April,High
CVE-2021-30349,2022,April,High
CVE-2021-30350,2022,April,High
CVE-2021-35070,2022,April,High
CVE-2021-35100,2022,April,High
CVE-2021-0313,2021,January,Critical
CVE-2021-0316,2021,January,Critical
CVE-2020-11134,2021,January,Critical
CVE-2020-11182,2021,January,Critical
CVE-2021-0303,2021,January,High
CVE-2021-0306,2021,January,High
CVE-2021-0307,2021,January,High
CVE-2021-0310,2021,January,High
CVE-2021-0315,2021,January,High
CVE-2021-0317,2021,January,High
CVE-2021-0318,2021,January,High
CVE-2021-0319,2021,January,High
CVE-2021-0304,2021,January,High
CVE-2021-0309,2021,January,High
CVE-2021-0321,2021,January,High
CVE-2021-0322,2021,January,High
CVE-2019-9376,2021,January,High
CVE-2016-6328,2021,January,High
CVE-2021-0311,2021,January,High
CVE-2021-0312,2021,January,High
CVE-2020-0471,2021,January,High
CVE-2021-0308,2021,January,High
CVE-2021-0320,2021,January,High
CVE-2020-10732,2021,January,High
CVE-2020-10766,2021,January,High
CVE-2020-10767,2021,January,High
CVE-2021-0301,2021,January,High
CVE-2020-11126,2021,January,High
CVE-2020-11159,2021,January,High
CVE-2020-11181,2021,January,High
CVE-2020-11235,2021,January,High
CVE-2020-11238,2021,January,High
CVE-2020-11241,2021,January,High
CVE-2020-11260,2021,January,High
CVE-2020-15999,2021,January,Moderate
CVE-2021-0326,2021,February,Critical
CVE-2020-11272,2021,February,Critical
CVE-2020-11163,2021,February,Critical
CVE-2020-11170,2021,February,Critical
CVE-2021-0341,2021,February,High
CVE-2021-0302,2021,February,High
CVE-2021-0305,2021,February,High
CVE-2021-0314,2021,February,High
CVE-2021-0327,2021,February,High
CVE-2021-0330,2021,February,High
CVE-2021-0334,2021,February,High
CVE-2021-0337,2021,February,High
CVE-2021-0339,2021,February,High
CVE-2021-0340,2021,February,High
CVE-2021-0338,2021,February,High
CVE-2021-0325,2021,February,High
CVE-2021-0332,2021,February,High
CVE-2021-0335,2021,February,High
CVE-2021-0328,2021,February,High
CVE-2021-0329,2021,February,High
CVE-2021-0331,2021,February,High
CVE-2021-0333,2021,February,High
CVE-2021-0336,2021,February,High
CVE-2017-18509,2021,February,High
CVE-2020-11271,2021,February,High
CVE-2020-11277,2021,February,High
CVE-2020-11282,2021,February,High
CVE-2020-11286,2021,February,High
CVE-2020-11297,2021,February,High
CVE-2020-11177,2021,February,High
CVE-2020-11180,2021,February,High
CVE-2020-11187,2021,February,High
CVE-2020-11253,2021,February,High
CVE-2020-11269,2021,February,High
CVE-2020-11270,2021,February,High
CVE-2020-11275,2021,February,High
CVE-2020-11276,2021,February,High
CVE-2020-11278,2021,February,High
CVE-2020-11280,2021,February,High
CVE-2020-11281,2021,February,High
CVE-2020-11283,2021,February,High
CVE-2020-11287,2021,February,High
CVE-2020-11296,2021,February,High
CVE-2021-0397,2021,March,Critical
CVE-2020-11192,2021,March,Critical
CVE-2020-11204,2021,March,Critical
CVE-2020-11218,2021,March,Critical
CVE-2020-11227,2021,March,Critical
CVE-2020-11228,2021,March,Critical
CVE-2021-0395,2021,March,High
CVE-2021-0391,2021,March,High
CVE-2021-0398,2021,March,High
CVE-2017-14491,2021,March,High
CVE-2021-0393,2021,March,High
CVE-2021-0396,2021,March,High
CVE-2021-0390,2021,March,High
CVE-2021-0392,2021,March,High
CVE-2021-0394,2021,March,High
CVE-2021-0399,2021,March,High
CVE-2020-11223,2021,March,High
CVE-2020-11290,2021,March,High
CVE-2020-11308,2021,March,High
CVE-2020-11309,2021,March,High
CVE-2020-11165,2021,March,High
CVE-2020-11166,2021,March,High
CVE-2020-11171,2021,March,High
CVE-2020-11178,2021,March,High
CVE-2020-11186,2021,March,High
CVE-2020-11188,2021,March,High
CVE-2020-11189,2021,March,High
CVE-2020-11190,2021,March,High
CVE-2020-11194,2021,March,High
CVE-2020-11195,2021,March,High
CVE-2020-11198,2021,March,High
CVE-2020-11199,2021,March,High
CVE-2020-11220,2021,March,High
CVE-2020-11221,2021,March,High
CVE-2020-11222,2021,March,High
CVE-2020-11226,2021,March,High
CVE-2020-11299,2021,March,High
CVE-2021-0430,2021,April,Critical
CVE-2020-11210,2021,April,Critical
CVE-2021-0400,2021,April,High
CVE-2021-0426,2021,April,High
CVE-2021-0427,2021,April,High
CVE-2021-0432,2021,April,High
CVE-2021-0438,2021,April,High
CVE-2021-0439,2021,April,High
CVE-2021-0442,2021,April,High
CVE-2021-0443,2021,April,High
CVE-2021-0444,2021,April,High
CVE-2021-0437,2021,April,High
CVE-2021-0436,2021,April,High
CVE-2021-0471,2021,April,High
CVE-2021-0429,2021,April,High
CVE-2021-0433,2021,April,High
